,id,wt,val,type,team
0,James Harden,10600,47.175783,SG,688
1,Anthony Davis,10300,42.020802,PF,697
2,Chris Paul,10000,34.813686999999994,PG,690
3,Pau Gasol,9700,38.412687,PF,682
4,Blake Griffin,9400,0.0,PF,690
5,DeAndre Jordan,8900,32.356756000000004,C,690
6,Michael Carter-Williams,8700,0.0,PG,694
7,Jimmy Butler,8600,30.943078000000003,SG,682
8,Zach Randolph,8500,33.236940000000004,PF,692
9,Eric Bledsoe,8400,34.163527,SG,702
10,Gordon Hayward,8400,31.304011,SF,707
11,Ty Lawson,8400,33.103542999999995,PG,685
12,Jrue Holiday,8000,0.0,PG,697
13,Tyreke Evans,8000,29.294746,SG,697
14,Marc Gasol,7900,33.273391000000004,C,692
15,Dwight Howard,7900,0.0,C,688
16,Hassan Whiteside,7800,43.643265,C,693
17,Chris Bosh,7700,0.0,PF,693
18,Tim Duncan,7700,31.918761000000003,PF,705
19,Kawhi Leonard,7700,29.640586,SF,705
20,Dwyane Wade,7600,38.811114,SG,693
21,Kyle Lowry,7400,35.43916699999999,PG,706
22,Jarrett Jack,7400,0.0,PG,696
23,Brandon Knight,7300,31.044925,PG,702
24,Derrick Favors,7300,34.416969,PF,707
