name,ppg,id,pos,sal,gameid,teamid,status
James Harden,47.175783,0,SG,10600,89145,688,
Anthony Davis,42.020802,1,PF,10300,89143,697,OUT
Chris Paul,34.813686999999994,2,PG,10000,89149,690,
Pau Gasol,38.412687,3,PF,9700,89144,682,
Blake Griffin,0.0,4,PF,9400,89149,690,OUT
DeAndre Jordan,32.356756000000004,5,C,8900,89149,690,
Michael Carter-Williams,0.0,6,PG,8700,89144,694,OUT
Jimmy Butler,30.943078,7,SG,8600,89144,682,
Zach Randolph,33.23694,8,PF,8500,89149,692,
Eric Bledsoe,34.163527,9,SG,8400,89147,702,
Gordon Hayward,31.304010999999996,10,SF,8400,89148,707,
Ty Lawson,33.103542999999995,11,PG,8400,89146,685,
Jrue Holiday,0.0,12,PG,8000,89143,697,OUT
Tyreke Evans,29.294745999999996,13,SG,8000,89143,697,
Marc Gasol,33.273391000000004,14,C,7900,89149,692,
Dwight Howard,0.0,15,C,7900,89145,688,OUT
Hassan Whiteside,43.643265,16,C,7800,89142,693,
Chris Bosh,0.0,17,PF,7700,89142,693,OUT
Tim Duncan,31.918761000000003,18,PF,7700,89148,705,
Kawhi Leonard,29.640586,19,SF,7700,89148,705,
Dwyane Wade,38.811113999999996,20,SG,7600,89142,693,
Kyle Lowry,35.43916699999999,21,PG,7400,89143,706,
Jarrett Jack,0.0,22,PG,7400,89146,696,OUT
Brandon Knight,31.044925,23,PG,7300,89147,702,
Derrick Favors,34.416969,24,PF,7300,89148,707,
Derrick Rose,34.514742000000005,25,PG,7000,89144,682,
Jared Sullinger,0.0,26,PF,6900,89147,680,OUT
Kevin Martin,30.218137,27,SG,6800,89145,695,
Joakim Noah,30.230082999999997,28,C,6800,89144,682,
DeMar DeRozan,29.30278,29,SG,6700,89143,706,
Giannis Antetokounmpo,24.250275000000002,30,SG,6700,89144,694,
Khris Middleton,23.286078,31,SF,6600,89144,694,
Brook Lopez,29.205667000000005,32,C,6600,89146,696,
Robert Covington,23.797663999999997,33,SF,6600,89142,701,
Thaddeus Young,27.396942999999997,34,PF,6600,89146,696,
Mike Conley,28.975211,35,PG,6500,89149,692,
Andrew Wiggins,29.415145,36,SF,6500,89145,695,
Ricky Rubio,36.09792099999999,37,PG,6500,89145,695,
Kenneth Faried,24.600042000000002,38,PF,6400,89146,685,
Eric Gordon,21.583230999999998,39,SG,6300,89143,697,
Josh Smith,30.971761,40,PF,6300,89145,688,
Tony Wroten,0.0,41,PG,6300,89142,701,OUT
Danny Green,19.159333999999998,42,SG,6200,89148,705,
Nikola Pekovic,32.48424800000001,43,C,6200,89145,695,
Gorgui Dieng,32.737697,44,C,6200,89145,695,
Markieff Morris,28.798453000000002,45,PF,6100,89147,702,
Joe Johnson,27.603822999999995,46,SG,6100,89146,696,
Nerlens Noel,22.922608,47,PF,6100,89142,701,
Isaiah Thomas,23.489043,48,PG,6000,89147,680,
Wilson Chandler,20.760467000000002,49,SF,5900,89146,685,GTD
Mason Plumlee,28.933499000000005,50,C,5900,89146,696,
Shabazz Muhammad,0.0,51,SF,5900,89145,695,OUT
Jonas Valanciunas,22.65422,52,C,5900,89143,706,
Goran Dragic,34.268929,53,PG,5900,89142,693,
Evan Turner,21.740454999999994,54,SG,5800,89147,680,
Donatas Motiejunas,23.816919,55,PF,5800,89145,688,
Rudy Gobert,28.705362,56,C,5700,89148,707,
Luol Deng,30.378105,57,SF,5600,89142,693,
Jamal Crawford,20.255736000000002,58,SG,5600,89149,690,
Trey Burke,20.441257999999998,59,PG,5500,89148,707,
Trevor Ariza,27.418626999999997,60,SF,5400,89145,688,
Tony Parker,25.401776,61,PG,5400,89148,705,
Mario Chalmers,17.750375000000002,62,PG,5300,89142,693,
Jusuf Nurkic,24.090868999999998,63,C,5300,89146,685,
Deron Williams,30.907386000000002,64,PG,5300,89146,696,
Zaza Pachulia,14.851996999999999,65,C,5300,89144,694,
O.J. Mayo,16.782494,66,SG,5200,89144,694,
Terrence Jones,14.53872,67,PF,5200,89145,688,
John Henson,18.933028999999998,68,PF,5100,89144,694,
Manu Ginobili,22.965231999999997,69,SG,5100,89148,705,
Louis Williams,0.0,71,SG,5100,89143,706,GTD
Matt Barnes,18.723246,72,SF,5100,89149,690,
Taj Gibson,0.0,73,PF,5000,89144,682,OUT
Avery Bradley,21.40781,74,SG,5000,89147,680,
Ryan Anderson,21.112520999999997,75,PF,5000,89143,697,OUT
P.J. Tucker,21.870378,76,SF,4900,89147,702,
Kelly Olynyk,0.0,77,C,4900,89147,680,OUT
Omer Asik,19.948547,78,C,4900,89143,697,
Corey Brewer,17.806331999999998,79,SF,4900,89145,688,
Jeff Green,21.971975,80,SF,4900,89149,692,
Jared Dudley,17.492316000000002,81,SF,4800,89144,694,
Luc Richard Mbah a Moute,19.011794000000002,82,SF,4800,89142,701,GTD
Patrick Patterson,20.643807999999996,84,PF,4800,89143,706,GTD
J.J. Redick,19.257129,85,SG,4700,89149,690,
Amir Johnson,20.884369000000003,86,PF,4700,89143,706,
Marcus Smart,23.178643,87,PG,4700,89147,680,
Patrick Beverley,22.512306000000002,88,PG,4700,89145,688,GTD
Brandon Bass,22.154328000000003,89,PF,4600,89147,680,
Josh McRoberts,0.0,90,PF,4600,89142,693,OUT
Alex Len,18.697884000000002,91,C,4500,89147,702,
James Johnson,21.192152999999994,92,SF,4500,89143,706,
Tyler Zeller,25.824565000000003,93,C,4500,89147,680,
Jameer Nelson,8.581319999999998,94,PG,4300,89146,685,
Mike Dunleavy,15.877105,95,SF,4300,89144,682,
Alexis Ajinca,0.0,96,C,4200,89143,697,
Hollis Thompson,9.967052999999998,97,SF,4200,89142,701,
Marco Belinelli,11.595015000000002,98,SG,4200,89148,705,
Jae Crowder,18.39402,100,SF,4100,89147,680,
Dante Cunningham,10.952414000000001,101,PF,4100,89143,697,
Jerryd Bayless,18.632915,102,PG,4100,89144,694,
Joe Ingles,15.191224,103,SF,4100,89148,707,
J.J. Hickson,15.445534999999998,104,PF,4000,89146,685,
Marcus Morris,15.309748000000003,105,PF,4000,89147,702,
Norris Cole,7.9466779999999995,106,PG,4000,89143,697,
Tony Allen,17.599301,107,SG,4000,89149,692,
Greivis Vasquez,22.107190999999997,108,PG,4000,89143,706,
Tiago Splitter,13.603058,109,C,4000,89148,705,
Marcus Thornton,7.351999,110,SG,4000,89147,702,
Boris Diaw,14.899986,111,PF,3900,89148,705,
Kevin Garnett,11.756912000000002,112,PF,3900,89145,695,OUT
Elijah Millsap,15.512819,113,SG,3900,89148,707,
Austin Rivers,0.0,114,SG,3900,89149,690,
Gerald Green,10.496439000000002,115,SF,3900,89147,702,
K.J. McDaniels,8.418603000000001,116,SF,3800,89145,688,
Spencer Hawes,28.491009000000002,117,C,3800,89149,690,
Kosta Koufos,14.422863999999999,119,C,3800,89149,692,
Luke Babbitt,6.094609999999999,120,SF,3800,89143,697,
Bojan Bogdanovic,0.0,121,SF,3700,89146,696,OUT
Rodney Hood,0.0,122,SF,3700,89148,707,
Vince Carter,0.0,123,SF,3700,89149,692,GTD
Chris Andersen,20.307692,124,C,3700,89142,693,
Beno Udrih,12.095346,125,PG,3700,89149,692,
Robbie Hummel,0.0,126,SF,3700,89145,695,OUT
Miles Plumlee,9.080316,127,C,3700,89144,694,
Alan Anderson,17.596549000000003,128,SG,3700,89146,696,
Glen Davis,5.268353999999999,129,PF,3700,89149,690,
Jason Richardson,8.019639,130,SG,3700,89142,701,OUT
Tim Frazier,6.1085590000000005,131,PG,3600,89142,701,
Shabazz Napier,9.096181999999999,132,PG,3600,89142,693,
Danilo Gallinari,22.673484000000002,133,SF,3600,89146,685,
Jakarr Sampson,10.707413999999998,134,PF,3600,89142,701,
Darrell Arthur,15.15404,135,PF,3600,89146,685,
Aaron Brooks,13.683958,137,PG,3600,89144,682,
Zach LaVine,16.440759999999997,138,PG,3600,89145,695,
Jerami Grant,16.432585,139,PF,3600,89142,701,OUT
Doug McDermott,0.668573,140,SF,3500,89144,682,
Ian Clark,0.0,141,SG,3500,89148,707,
Cameron Bairstow,0.0,142,PF,3500,89144,682,
Isaiah Canaan,19.650183999999996,143,PG,3500,89142,701,
Tyler Johnson,8.137005,144,PG,3500,89142,693,
Terrence Ross,15.143277,146,SF,3500,89143,706,
C.J. Wilcox,4.529253,147,SG,3500,89149,690,
Erick Green,3.87887,148,SG,3500,89146,685,
Jason Terry,8.140665,150,SG,3500,89145,688,
Jarnell Stokes,0.0,152,PF,3500,89149,692,
James Ennis,15.337927999999998,154,SF,3500,89142,693,
Will Barton,3.8271050000000004,155,SG,3500,89146,685,
Tony Snell,15.557873999999998,157,SG,3500,89144,682,
Luigi Datome,0.0,159,SF,3500,89147,680,
Nick Calathes,12.687195999999998,160,PG,3500,89149,692,
Sergey Karasev,4.77152,163,SG,3500,89146,696,
Lucas Nogueira,0.0,165,C,3500,89143,706,GTD
James Young,6.818348000000001,166,SF,3500,89147,680,
Tyler Ennis,13.050686,167,PG,3500,89144,694,
Clint Capela,0.0,168,PF,3500,89145,688,
Damien Inglis,0.0,169,SF,3500,89144,694,OUT
Zoran Dragic,0.0,170,SG,3500,89142,693,
Bruno Caboclo,0.0,171,SF,3500,89143,706,
Dante Exum,16.841838,172,PG,3500,89148,707,
Aron Baynes,10.990889000000001,175,C,3500,89148,705,
Gary Harris,3.6054090000000008,176,SG,3500,89146,685,
Kostas Papanikolaou,3.5357960000000004,177,SF,3500,89145,688,
Furkan Aldemir,2.732017,178,PF,3500,89142,701,
T.J. Warren,3.5514949999999996,179,SF,3500,89147,702,
Kirk Hinrich,0.0,180,PG,3500,89144,682,OUT
Pablo Prigioni,2.8529500000000003,185,PG,3500,89145,688,
Archie Goodwin,1.4376630000000001,186,PG,3500,89147,702,
Gerald Wallace,3.151939,187,SF,3500,89147,680,
Anthony Bennett,0.0,188,PF,3500,89145,695,OUT
Kyle Anderson,0.0,189,SF,3500,89148,705,
Jordan Adams,0.0,190,SG,3500,89149,692,
Grant Jerrett,4.046272,192,PF,3500,89148,707,
Thomas Robinson,5.5553040000000005,194,PF,3500,89146,685,
Landry Fields,1.083308,195,SF,3500,89143,706,
Jerome Jordan,0.914945,196,C,3500,89146,696,
Jeremy Evans,1.7059099999999998,197,SF,3500,89148,707,
Quincy Pondexter,11.339871,198,SF,3500,89143,697,
Trevor Booker,17.092292,199,PF,3500,89148,707,
Greg Stiemsma,0.0,200,C,3500,89143,706,
Ekpe Udoh,1.23606,201,C,3500,89149,690,
Gary Neal,0.0,202,SG,3500,89145,695,GTD
Jimmer Fredette,3.833654,204,PG,3500,89143,697,
Shavlik Randolph,0.0,205,PF,3500,89147,680,
Ersan Ilyasova,9.259081999999998,206,PF,3500,89144,694,
Courtney Lee,17.358625999999997,207,SG,3500,89149,692,
Reggie Williams,0.0,211,SG,3500,89148,705,
Joey Dorsey,10.236265,213,C,3500,89145,688,
JaVale McGee,9.743837000000001,214,C,3500,89142,701,
Randy Foye,12.647478,215,SG,3500,89146,685,
Matt Bonner,4.366838000000001,216,C,3500,89148,705,
Nazr Mohammed,0.0,219,C,3500,89144,682,
Chase Budinger,3.8765419999999993,220,SF,3500,89145,695,
Jonas Jerebko,8.828993999999998,221,PF,3500,89147,680,
Jeff Ayres,0.0,222,PF,3500,89148,705,
Brandan Wright,13.841893999999998,225,C,3500,89147,702,
Udonis Haslem,20.298329,226,PF,3500,89142,693,
Russ Smith,0.0,228,PG,3500,89149,692,
Justin Hamilton,3.0734470000000003,229,C,3500,89143,697,
Chuck Hayes,0.0,231,C,3500,89143,706,
Jeff Withey,0.0,232,C,3500,89143,697,
Dahntay Jones,3.7039609999999996,233,SG,3500,89149,690,
Johnny O'Bryant,0.5245189999999998,234,C,3500,89144,694,GTD
Lorenzo Brown,0.0,236,PG,3500,89145,695,
Markel Brown,19.241073999999998,237,SG,3500,89146,696,
Reggie Bullock,1.429065,239,SF,3500,89147,702,
Adreian Payne,11.109402999999999,240,PF,3500,89145,695,
Hedo Turkoglu,6.975047999999999,242,SF,3500,89149,690,
Henry Sims,10.062189,243,C,3500,89142,701,
Darius Morris,9.89733,244,PG,3500,89146,696,
Jon Leuer,8.675485000000002,246,PF,3500,89149,692,
Cory Joseph,7.223831,247,PG,3500,89148,705,
Nikola Mirotic,21.096867,248,PF,3500,89144,682,
Tyler Hansbrough,7.968166,249,PF,3500,89143,706,
E'Twaun Moore,1.620402,250,PG,3500,89144,682,
Danny Granger,7.536515999999999,251,SG,3500,89147,702,
Jorge Gutierrez,2.7945919999999997,254,PG,3500,89144,694,
Cory Jefferson,3.056595,255,PF,3500,89146,696,
JaMychal Green,0.0,256,SF,3500,89149,692,
Nick Johnson,0.0,257,SG,3500,89145,688,
